Post Content,Dashboard Image URL,Website Link,Hashtags,Features Highlights,Description,Title
"ChangeDetection

changedetection.io - The best and simplest self-hosted open source website change detection monitoring and notification service. An alternative to Visualping, Watchtower etc. Designed for simplicity - the main goal is to simply monitor which websites had a text change.

Features Highlight:

- Backup and Updates:

Automatic Updates, Automatic Backups, No Heroku ""paused application"", don't miss a change!

- Unlimited checks and watches!:

Changedetection provides unlimited checks where user can access without limiting down to few.

- Notifications:

ChangeDetection.io supports a massive amount of notifications (including email, office365, custom APIs, etc) when a web-page has a change detected thanks to the apprise library. Simply set one or more notification URL's in the tab of that watch.

- Filters:

XPath, JSONPath and CSS support comes baked in! You can be as specific as you need, use XPath exported from various XPath element query creation tools.

https://octabyte.io/hosting-and-infrastructure/monitoring/changedetection

#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #changedetection #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/monitoring/changedetection/screenshot-1.jpg,https://octabyte.io/hosting-and-infrastructure/monitoring/changedetection,#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #changedetection #managedservices,"- Backup and Updates:

Automatic Updates, Automatic Backups, No Heroku ""paused application"", don't miss a change!

- Unlimited checks and watches!:

Changedetection provides unlimited checks where user can access without limiting down to few.

- Notifications:

ChangeDetection.io supports a massive amount of notifications (including email, office365, custom APIs, etc) when a web-page has a change detected thanks to the apprise library. Simply set one or more notification URL's in the tab of that watch.

- Filters:

XPath, JSONPath and CSS support comes baked in! You can be as specific as you need, use XPath exported from various XPath element query creation tools.","Changedetection.io is an open source web page monitoring, notification and change detection.",ChangeDetection
"Coroot

Collecting metrics, logs, and traces alone doesn't make your applications observable. Coroot turns that data into actionable insights for you!

Features Highlight:

- Zero-instrumentation observability:

Metrics, logs, traces, and profiles are gathered automatically by using eBPF
Coroot provides you with a Service Map that covers 100% of your system with no blind spots
Predefined inspections audit each application without any configuration

- Application Health Summary:

Easily understand the status of your services, even when dealing with hundreds of them
Gain insight into application logs without the need to manually inspect each one
SLOs (Service Level Objectives) tracking

- Explore any outlier requests with distributed tracing:

Investigate any anomaly with just one click
Vendor-neutral instrumentation with OpenTelemetry
Are you unable to instrument legacy or third-party services? Coroot's eBPF-based instrumentation can capture requests without requiring any code changes.

- Grasp insights from logs with just a quick glance:

Log patterns: out-of-the-box event clustering
Seamless logs-to-traces correlation
Lightning-fast search based on ClickHouse

https://octabyte.io/hosting-and-infrastructure/monitoring/coroot

#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #coroot #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/monitoring/coroot/screenshot-1.png,https://octabyte.io/hosting-and-infrastructure/monitoring/coroot,#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #coroot #managedservices,"- Zero-instrumentation observability:

Metrics, logs, traces, and profiles are gathered automatically by using eBPF
Coroot provides you with a Service Map that covers 100% of your system with no blind spots
Predefined inspections audit each application without any configuration

- Application Health Summary:

Easily understand the status of your services, even when dealing with hundreds of them
Gain insight into application logs without the need to manually inspect each one
SLOs (Service Level Objectives) tracking

- Explore any outlier requests with distributed tracing:

Investigate any anomaly with just one click
Vendor-neutral instrumentation with OpenTelemetry
Are you unable to instrument legacy or third-party services? Coroot's eBPF-based instrumentation can capture requests without requiring any code changes.

- Grasp insights from logs with just a quick glance:

Log patterns: out-of-the-box event clustering
Seamless logs-to-traces correlation
Lightning-fast search based on ClickHouse","Coroot is an APM & Observability tool, a DataDog and NewRelic alternative",Coroot
"Grafana

Grafana is an open and composable observability and data visualization platform that allows you to visualize metrics, logs and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres, etc. It provides charts, graphs and alerts for the web when connected to supported data sources.

Features Highlight:

- Unify your data, not your database:

With Grafana, you don't have to ingest data to a backend store or vendor database. It unifies your data wherever it lives. You can take any of your data – from your Kubernetes cluster, Raspberry Pi, different cloud services, or even Google Sheets – and visualize it as you want, all from a single dashboard.

- Data everyone can see:

Grafana 'democratizes' data: it's accessible to everyone in your organization. It thus helps to facilitate a culture where data can easily be used and accessed by the people that need it, helping to break down data silos and empower teams.

- Dashboards that anyone can use:

Grafana dashboards not only provide insights into data collected from numerous sources; you can share the dashboards you create with other team members and explore the data together. With Grafana, anyone can create and share dynamic dashboards, which fosters collaboration and transparency.

- Flexibility and versatility:

Grafana enables you to translate and transform any of your data into flexible and versatile dashboards. You can build dashboards specifically for you and your team. With advanced querying and transformation capabilities, you can customize your panels to create helpful visualizations.

https://octabyte.io/hosting-and-infrastructure/monitoring/grafana

#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #grafana #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/monitoring/grafana/screenshot-1.jpg,https://octabyte.io/hosting-and-infrastructure/monitoring/grafana,#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #grafana #managedservices,"- Unify your data, not your database:

With Grafana, you don't have to ingest data to a backend store or vendor database. It unifies your data wherever it lives. You can take any of your data – from your Kubernetes cluster, Raspberry Pi, different cloud services, or even Google Sheets – and visualize it as you want, all from a single dashboard.

- Data everyone can see:

Grafana 'democratizes' data: it's accessible to everyone in your organization. It thus helps to facilitate a culture where data can easily be used and accessed by the people that need it, helping to break down data silos and empower teams.

- Dashboards that anyone can use:

Grafana dashboards not only provide insights into data collected from numerous sources; you can share the dashboards you create with other team members and explore the data together. With Grafana, anyone can create and share dynamic dashboards, which fosters collaboration and transparency.

- Flexibility and versatility:

Grafana enables you to translate and transform any of your data into flexible and versatile dashboards. You can build dashboards specifically for you and your team. With advanced querying and transformation capabilities, you can customize your panels to create helpful visualizations.","Grafana is a multi-platform, open-source analytics and interactive visualization web application.",Grafana
"Loki

Loki is a horizontally scalable, highly available, multi-tenant log aggregation system inspired by Prometheus. It is designed to be very cost-effective and easy to operate. It does not index the contents of the logs, but rather a set of labels for each log stream.

Features Highlight:

- Pull in any logs with Promtail:

Promtail is a log collector built specifically for Loki. It uses the same service discovery as Prometheus and includes analogous features for labeling, transforming, and filtering logs before ingestion into Loki.

- Store the logs in Loki:

Loki does not index the text of logs. Instead, entries are grouped into streams and indexed with labels. Not only does this reduce costs, but it also means log lines are available to query within milliseconds of being received by Loki.

- Use LogQL to explore:

Use Loki’s powerful query language, LogQL, to explore your logs. Run LogQL queries directly within Grafana to visualize your logs alongside other data sources, or with LogCLI, for those who prefer a command-line experience.

- Alert on your logs:

Set up alerting rules for Loki to evaluate your incoming log data. Configure Loki to send the resulting alerts to a Prometheus Alert manager so they can then get routed to the right team.

https://octabyte.io/hosting-and-infrastructure/monitoring/loki

#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #loki #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/monitoring/loki/screenshot-1.png,https://octabyte.io/hosting-and-infrastructure/monitoring/loki,#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #loki #managedservices,"- Pull in any logs with Promtail:

Promtail is a log collector built specifically for Loki. It uses the same service discovery as Prometheus and includes analogous features for labeling, transforming, and filtering logs before ingestion into Loki.

- Store the logs in Loki:

Loki does not index the text of logs. Instead, entries are grouped into streams and indexed with labels. Not only does this reduce costs, but it also means log lines are available to query within milliseconds of being received by Loki.

- Use LogQL to explore:

Use Loki’s powerful query language, LogQL, to explore your logs. Run LogQL queries directly within Grafana to visualize your logs alongside other data sources, or with LogCLI, for those who prefer a command-line experience.

- Alert on your logs:

Set up alerting rules for Loki to evaluate your incoming log data. Configure Loki to send the resulting alerts to a Prometheus Alert manager so they can then get routed to the right team.",Loki is a log aggregation system designed to store and query logs from all your applications and infrastructure.,Loki
"GlitchTip

GlitchTip makes monitoring software easy. Track errors, monitor performance, and check site uptime all in one place. Our app is compatible with Sentry client SDKs but is easier to run.

Features Highlight:

- Error Tracking:

Report your website or application's exceptions, log messages, Content Security Policy violations, and more to one place to triage and resolve.

- Application Performance Monitoring:

Find out where your app is slow. GlitchTip takes a simple, works-out-of-the-box approach. No dashboard building and metrics hunting. Just find your slowest web requests, database calls, and other transactions.

- Uptime Monitoring:

GlitchTip can ping your site and warn you when it's not responding. Or reverse it and send GlitchTip a request on schedule. If GlitchTip doesn't receive your ping, it will send you an alert via email or webhook

- Have some bugs in your code?:

GlitchTip is the right choice if you value simplicity, affordability, and the freedom provided by open source.

https://octabyte.io/hosting-and-infrastructure/monitoring/glitchtip

#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #glitchtip #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/monitoring/glitchtip/screenshot-1.webp,https://octabyte.io/hosting-and-infrastructure/monitoring/glitchtip,#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #glitchtip #managedservices,"- Error Tracking:

Report your website or application's exceptions, log messages, Content Security Policy violations, and more to one place to triage and resolve.

- Application Performance Monitoring:

Find out where your app is slow. GlitchTip takes a simple, works-out-of-the-box approach. No dashboard building and metrics hunting. Just find your slowest web requests, database calls, and other transactions.

- Uptime Monitoring:

GlitchTip can ping your site and warn you when it's not responding. Or reverse it and send GlitchTip a request on schedule. If GlitchTip doesn't receive your ping, it will send you an alert via email or webhook

- Have some bugs in your code?:

GlitchTip is the right choice if you value simplicity, affordability, and the freedom provided by open source.","Reimplementation of the Sentry error tracking platform, Track errors, uptime, and performance.",GlitchTip
"Sensu

Sensu is a complete solution for monitoring and observability at scale. It is an agent-based observability tool that you install on your organization’s infrastructure. The Sensu backend gives you a flexible, automated pipeline to filter, transform, and process alerts and metrics.

Features Highlight:

- Observability Pipeline:

With Sensu Go, you can fill gaps in observability between metrics, logging, & tracing.

- Monitoring as code:

Sensu Go codifies monitoring workflows into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.

- Multi-cloud:

Embrace auto-scaling with confidence & real-time visibility. Sensu automates the registration and de-registration of servers, containers, services, apps, functions, and connected devices.

- Monitoring workflows:

With Sensu, you can use the right interface and the right data format for each individual problem, configuring the corresponding workflow accordingly.

https://octabyte.io/hosting-and-infrastructure/monitoring/sensu

#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #sensu #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/monitoring/sensu/screenshot-1.jpg,https://octabyte.io/hosting-and-infrastructure/monitoring/sensu,#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #sensu #managedservices,"- Observability Pipeline:

With Sensu Go, you can fill gaps in observability between metrics, logging, & tracing.

- Monitoring as code:

Sensu Go codifies monitoring workflows into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.

- Multi-cloud:

Embrace auto-scaling with confidence & real-time visibility. Sensu automates the registration and de-registration of servers, containers, services, apps, functions, and connected devices.

- Monitoring workflows:

With Sensu, you can use the right interface and the right data format for each individual problem, configuring the corresponding workflow accordingly.",Sensu is an open source monitoring tool for ephemeral infrastructure and distributed applications.,Sensu
"SigNoz

SigNoz is an application performance management (APM) solution with native support for OpenTelemetry, the emerging industry standard for instrumentation. You can monitor your usage and set your own retention period and sampling rate based on your needs. With industry-trusted Kafka & Druid to handle enterprise scale, you avoid scaling pains.

Features Highlight:

- Your data in your boundary:

With SigNoz, there's no need to worry about GDPR and other data protection laws. All your tracing and monitoring data is now in your infra.

- Forget huge SaaS bills:

You won't face any abrupt pricing changes or, with the transparent usage data, unexpected month-end bills.

- Take control:

SigNoz means you won't have to spend weeks in vendor slack for that one small feature. You can extend SigNoz to suit your needs.

- Monitor your usage:

SigNoz allows you to monitor your usage and set your own retention period and sampling rate based on your needs.

https://octabyte.io/hosting-and-infrastructure/monitoring/signoz

#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #signoz #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/monitoring/signoz/screenshot-1.jpg,https://octabyte.io/hosting-and-infrastructure/monitoring/signoz,#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #signoz #managedservices,"- Your data in your boundary:

With SigNoz, there's no need to worry about GDPR and other data protection laws. All your tracing and monitoring data is now in your infra.

- Forget huge SaaS bills:

You won't face any abrupt pricing changes or, with the transparent usage data, unexpected month-end bills.

- Take control:

SigNoz means you won't have to spend weeks in vendor slack for that one small feature. You can extend SigNoz to suit your needs.

- Monitor your usage:

SigNoz allows you to monitor your usage and set your own retention period and sampling rate based on your needs.",SigNoz is an open-source APM solution for understanding issues in your applications and solving them quickly,SigNoz
"Uptime-kuma

Uptime Kuma is a self-hosted, open-source, fancy uptime monitoring and alerting system. It can monitor HTTP, HTTP with keyword, TCP, Ping and even DNS systems. Similar to Uptime Robot, it supports multiple notification systems.

Features Highlight:

- Website & SSL monitoring:

Uptime Kuma ensures reliable monitoring so you can be warned before any significant trouble. It saves you money. You won't lose visitors because of an expired SSL certificate. And you'll get notified 30, 14 and 7 days before expiration so you have time to renew.

- Ping monitoring:

With Uptime Kuma, you can leverage one of the tools that administrators most use to check the availability of network devices.

- Port monitoring:

Is the email service still up? Or what about the critical database server? Uptime Kuma allows you to monitor any specific service running on any port.

- Cron job monitoring:

Uptime Kuma includes cron or heartbeat monitoring of recurring background jobs or intranet devices connected to the internet.

https://octabyte.io/hosting-and-infrastructure/monitoring/uptime-kuma

#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #uptimekuma #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/monitoring/uptime-kuma/screenshot-1.jpg,https://octabyte.io/hosting-and-infrastructure/monitoring/uptime-kuma,#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #uptimekuma #managedservices,"- Website & SSL monitoring:

Uptime Kuma ensures reliable monitoring so you can be warned before any significant trouble. It saves you money. You won't lose visitors because of an expired SSL certificate. And you'll get notified 30, 14 and 7 days before expiration so you have time to renew.

- Ping monitoring:

With Uptime Kuma, you can leverage one of the tools that administrators most use to check the availability of network devices.

- Port monitoring:

Is the email service still up? Or what about the critical database server? Uptime Kuma allows you to monitor any specific service running on any port.

- Cron job monitoring:

Uptime Kuma includes cron or heartbeat monitoring of recurring background jobs or intranet devices connected to the internet.",Uptime Kuma is a self-hosted monitoring tool like Uptime Robot.,Uptime-kuma
"Healthchecks

Healthchecks, a cron job monitoring service, listens for HTTP requests and email messages (pings) from your cron jobs and scheduled tasks (checks). When a ping does not arrive on time, it sends out alerts. It comes with a web dashboard, API, 25+ integrations for delivering notifications, monthly email reports, WebAuthn 2FA support, and team management features: projects, team members, read-only access.

Features Highlight:

- Live-updating dashboard:

Healthchecks provides you with a list of your checks, one for each cron job, daemon or scheduled task you want to monitor. You can give names and assign tags to your checks to easily recognize them later; tap on the integration icons to toggle them on and off, and adjust period and grace time to match the periodicity and duration of your tasks.

- Reliable:

The hosted Healthchecks.io service runs on Hetzner bare metal servers, with healthy excess capacity to handle traffic spikes (which cron jobs with common schedules are prone to create). The app servers are load-balanced. The PostgreSQL database has a hot standby as well as daily encrypted backups to S3.

- Self-hostable:

The Healthchecks.io code base is BSD-licensed and is developed in the open on GitHub. Self-hosting is a good option if you need to extend the project with proprietary features, must run everything in-house for compliance reasons, or want to learn about developing and deploying Django web applications.

- Public status badges:

Healthchecks provides status badges for each of the tags you have used. Additionally, the Healthchecks.io badge shows the overall status of all checks in your account. The badges have public but hard-to-guess URLs. You can use them in your READMEs, dashboards or status pages.

https://octabyte.io/hosting-and-infrastructure/monitoring/healthchecks

#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #healthchecks #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/monitoring/healthchecks/screenshot-1.jpg,https://octabyte.io/hosting-and-infrastructure/monitoring/healthchecks,#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #healthchecks #managedservices,"- Live-updating dashboard:

Healthchecks provides you with a list of your checks, one for each cron job, daemon or scheduled task you want to monitor. You can give names and assign tags to your checks to easily recognize them later; tap on the integration icons to toggle them on and off, and adjust period and grace time to match the periodicity and duration of your tasks.

- Reliable:

The hosted Healthchecks.io service runs on Hetzner bare metal servers, with healthy excess capacity to handle traffic spikes (which cron jobs with common schedules are prone to create). The app servers are load-balanced. The PostgreSQL database has a hot standby as well as daily encrypted backups to S3.

- Self-hostable:

The Healthchecks.io code base is BSD-licensed and is developed in the open on GitHub. Self-hosting is a good option if you need to extend the project with proprietary features, must run everything in-house for compliance reasons, or want to learn about developing and deploying Django web applications.

- Public status badges:

Healthchecks provides status badges for each of the tags you have used. Additionally, the Healthchecks.io badge shows the overall status of all checks in your account. The badges have public but hard-to-guess URLs. You can use them in your READMEs, dashboards or status pages.",Healthchecks is an online service for monitoring regularly running tasks such as cron jobs.,Healthchecks
"VictoriaMetrics

VictoriaMetrics is a fast, cost-effective and scalable monitoring solution and time series database typically used for processing high volumes of data and long term storing. It lets users build a monitoring platform without operational burden or scalability issues

Features Highlight:

- Lightweight:

Scales perfectly with the number of CPU cores, RAM and available storage space

- Scalable:

Provides horizontal scalability in cluster version

- Easy to Install:

Easy to configure and operate

- Compression:

Offers optimized compression algorithms

https://octabyte.io/hosting-and-infrastructure/monitoring/victoriametrics

#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #victoriametrics #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/monitoring/victoriametrics/screenshot-1.png,https://octabyte.io/hosting-and-infrastructure/monitoring/victoriametrics,#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #victoriametrics #managedservices,"- Lightweight:

Scales perfectly with the number of CPU cores, RAM and available storage space

- Scalable:

Provides horizontal scalability in cluster version

- Easy to Install:

Easy to configure and operate

- Compression:

Offers optimized compression algorithms","VictoriaMetrics is a fast, cost-effective monitoring solution and time series database",VictoriaMetrics
